Global ID,Brand,Product Type,Cycle Type,Segment,Range (Internal),Bead,CAI (Manufacturer Code),Rear Fit Compatible ,Customer/Market,Width ETRTO,Diameter ETRTO,Designation (Internal),Type (Tube),Valve (Tube),Valve Length,EAN Code,MSPN Code (Internal),UPC Code,LIVM,Discontinued Date,Weight (g),Conditioning,Unit Packaging Weight (g),Unit Packaging Width (mm),Unit Packaging Depth (mm),Unit Packaging Heigth (mm),Individual Packaging Material,Transportation packaging Weight,Transportation Packaging Width (mm),Transportation Packaging Depth (mm),Transportation Packaging Heigth (mm),Transportation Packaging Material,RPC code (Levorin),Market Perimeter,Web Range Name,Web Diameter (mm),Web Diameter (Inch),Web Width (mm),Web Width (Inch),Rim Type,Web Product Designation,Fitting,TPI,Minimum Pressure (Bar),Maximum Pressure (Bar),Minimum Pressure (Psi),Maximum Pressure (Psi),Recommended Inner Tube,Sidewall Type,Sealing,Shore,Sidewall Color,Tread Pattern Color,Terrain Types,Use,Rubber Technologies,Casing Technologies,Tread Pattern Technologies,Reinforcement Technologies,E-Bike Technologies,Conversion Psi mini,Conversion Psi maxi,ECO BOX/PACK TYPE,POIDS TOTAL (g),Reflective strip,Knurling strip,Shoulder Color,Border Color,Label type,CYCLE TYPE WEB
BI-92,MICHELIN,TUBULAR,ROAD,PREMIUM RACING LINE,POWER CYCLOCROSS MUD TUBULAR,NOT APPLICABLE,421152,,RT,33,622,33-622 (700X33) POWER CYCLOCROSS MUD TUBULAR,,,42,3528704211524,38875,86699388759,sept.-19,déc.-25,470,10,15,171,40,120,CARDBOARD,,800,1000,70,CARDBOARD   ,,WORLD EXCEPT BRAZIL AND ARGENTINA,MICHELIN POWER CYCLOCROSS MUD TUBULAR RACING LINE,700,,33,,TUBULAR,33-622 (700X33) POWER CYCLOCROSS MUD TUBULAR ,FRONT/REAR,2X160,3,5,43,72,MICHELIN LATEX TUBE INCLUDED,THINWALL,TUBULAR,,BROWN,GREEN,"OFFROAD MIXED,OFFROAD SOFT,OFFROAD MUD",CYCLOCROSS,MAGI-X GREEN,,,,,43,72,TUB_A,4850,NO,NO,BLACK,BLACK,BLUE & YELLOW ,ROAD
BI-93,MICHELIN,TUBULAR,ROAD,PREMIUM RACING LINE,POWER CYCLOCROSS JET TUBULAR,NOT APPLICABLE,748715,,RT,33,622,33-622 (700X33) POWER CYCLOCROSS JET TUBULAR,,,42,3528707487155,25497,086699254979,sept.-19,déc.-25,460,10,15,171,40,120,CARDBOARD,,800,1000,70,CARDBOARD   ,,WORLD EXCEPT BRAZIL AND ARGENTINA,MICHELIN POWER CYCLOCROSS JET TUBULAR RACING LINE,700,,33,,TUBULAR,33-622 (700X33) POWER CYCLOCROSS JET TUBULAR ,FRONT/REAR,2X160,3,5,43,72,MICHELIN LATEX TUBE INCLUDED,THINWALL,TUBULAR,,BROWN,GREEN,"ASPHALT,OFFROAD HARD PACKED,OFFROAD MIXED",CYCLOCROSS,MAGI-X GREEN,,,BEAD TO BEAD SHIELD,,43,72,TUB_A,4750,NO,NO,BLACK,BLACK,BLUE & YELLOW ,ROAD
BI-125,MICHELIN,TUBULAR,ROAD,PREMIUM RACING LINE,POWER CUP TUBULAR,NOT APPLICABLE,658168,,RT,,,"28""-23mm POWER CUP TUBULAR BLACK",,,42,3528706581687,61525,086699615251,mars-22,déc.-25,265,10,15,171,40,120,CARDBOARD,,800,1000,70,CARDBOARD   ,,WORLD EXCEPT BRAZIL AND ARGENTINA,MICHELIN POWER CUP TUBULAR RACING LINE,,28,23,,TUBULAR,"28""-23mm POWER CUP TUBULAR BLACK ",FRONT/REAR,2X160,6,12,87,174,MICHELIN LATEX TUBE INCLUDED,THINWALL,TUBULAR,,BLACK,BLACK,ASPHALT,RACING,GUM-X,,GRIP DESIGN,HIGH DENSITY SHIELD,,87,174,TUB_A,2800,NO,NO,BLACK,BLACK,BLUE & YELLOW ,ROAD
BI-125,MICHELIN,TUBULAR,ROAD,PREMIUM RACING LINE,POWER CUP TUBULAR,NOT APPLICABLE,735655,,RT,,,"28""-25mm POWER CUP TUBULAR BLACK",,,42,3528707356550,65896,086699658968,mars-22,déc.-25,280,10,15,171,40,120,CARDBOARD,,800,1000,70,CARDBOARD   ,,WORLD EXCEPT BRAZIL AND ARGENTINA,MICHELIN POWER CUP TUBULAR RACING LINE,,28,25,,TUBULAR,"28""-25mm POWER CUP TUBULAR BLACK ",FRONT/REAR,2X160,6,12,87,174,MICHELIN LATEX TUBE INCLUDED,THINWALL,TUBULAR,,BLACK,BLACK,ASPHALT,RACING,GUM-X,,GRIP DESIGN,HIGH DENSITY SHIELD,,87,174,TUB_A,2950,NO,NO,BLACK,BLACK,BLUE & YELLOW ,ROAD
BI-125,MICHELIN,TUBULAR,ROAD,PREMIUM RACING LINE,POWER CUP TUBULAR,NOT APPLICABLE,814388,,RT,,,"28""-25mm POWER CUP TUBULAR CLASSIC",,,42,3528708143883,28142,086699281425,mars-22,déc.-25,280,10,15,171,40,120,CARDBOARD,,800,1000,70,CARDBOARD   ,,WORLD EXCEPT BRAZIL AND ARGENTINA,MICHELIN POWER CUP TUBULAR RACING LINE,,28,25,,TUBULAR,"28""-25mm POWER CUP TUBULAR CLASSIC",FRONT/REAR,2X160,6,12,87,174,MICHELIN LATEX TUBE INCLUDED,THINWALL,TUBULAR,,CLASSIC,BLACK,ASPHALT,RACING,GUM-X,,GRIP DESIGN,HIGH DENSITY SHIELD,,87,174,TUB_A,2950,NO,NO,BLACK,BLACK,CLASSIC ,ROAD
BI-125,MICHELIN,TUBULAR,ROAD,PREMIUM RACING LINE,POWER CUP TUBULAR,NOT APPLICABLE,214466,,RT,,,"28""-28mm POWER CUP TUBULAR BLACK",,,42,3528702144664,78847,086699788474,mars-22,déc.-25,320,10,15,171,40,120,CARDBOARD,,800,1000,70,CARDBOARD   ,,WORLD EXCEPT BRAZIL AND ARGENTINA,MICHELIN POWER CUP TUBULAR RACING LINE,,28,28,,TUBULAR,"28""-28mm POWER CUP TUBULAR BLACK ",FRONT/REAR,2X160,6,12,87,174,MICHELIN LATEX TUBE INCLUDED,THINWALL,TUBULAR,,BLACK,BLACK,ASPHALT,RACING,GUM-X,,GRIP DESIGN,HIGH DENSITY SHIELD,,87,174,TUB_A,3350,NO,NO,BLACK,BLACK,BLUE & YELLOW ,ROAD
BI-125,MICHELIN,TUBULAR,ROAD,PREMIUM RACING LINE,POWER CUP TUBULAR,NOT APPLICABLE,048462,,RT,,,"28""-28mm POWER CUP TUBULAR CLASSIC",,,42,3528700484625,95845,086699958457,mars-22,déc.-25,320,10,15,171,40,120,CARDBOARD,,800,1000,70,CARDBOARD   ,,WORLD EXCEPT BRAZIL AND ARGENTINA,MICHELIN POWER CUP TUBULAR RACING LINE,,28,28,,TUBULAR,"28""-28mm POWER CUP TUBULAR CLASSIC ",FRONT/REAR,2X160,6,12,87,174,MICHELIN LATEX TUBE INCLUDED,THINWALL,TUBULAR,,CLASSIC,BLACK,ASPHALT,RACING,GUM-X,,GRIP DESIGN,HIGH DENSITY SHIELD,,87,174,TUB_A,3350,NO,NO,BLACK,BLACK,CLASSIC ,ROAD
BI-98,MICHELIN,TYRE,ROAD,PREMIUM RACING LINE,POWER TIME TRIAL,FOLDABLE BEAD,664143,,RT,23,622,23-622 (700X23C) POWER TIME TRIAL BLACK TS,,,,3528706641435,05620,086699056207,janv.-20,déc.-30,180,10,40,75,74,226,CARDBOARD,225,160,400,265,"CORRUGATED CARDBOARD THICKNESS 3,5 MM",,WORLD,MICHELIN POWER TIME TRIAL RACING LINE,700,,23,,HOOKED,23-622 (700X23C) POWER TIME TRIAL BLACK ,FRONT/REAR,3X150,5,8,72,116,A1 18/25mm 622mm,THINWALL,TUBE TYPE,,BLACK,BLACK,ASPHALT,RACING,GUM-X,,,,,72,116,BOX_S,2425,NO,NO,BLACK,BLACK,BLUE & YELLOW ,ROAD
BI-98,MICHELIN,TYRE,ROAD,PREMIUM RACING LINE,POWER TIME TRIAL,FOLDABLE BEAD,146938,,RT,25,622,25-622 (700X25C) POWER TIME TRIAL BLACK TS,,,,3528701469386,49738,086699497383,janv.-20,déc.-30,190,10,40,75,74,226,CARDBOARD,225,160,400,265,"CORRUGATED CARDBOARD THICKNESS 3,5 MM",,WORLD,MICHELIN POWER TIME TRIAL RACING LINE,700,,25,,HOOKED,25-622 (700X25C) POWER TIME TRIAL BLACK ,FRONT/REAR,3X150,5,8,72,116,A1 18/25mm 622mm,THINWALL,TUBE TYPE,,BLACK,BLACK,ASPHALT,RACING,GUM-X,,,,,72,116,BOX_S,2525,NO,NO,BLACK,BLACK,BLUE & YELLOW ,ROAD
BI-175,MICHELIN,TYRE,ROAD,PREMIUM RACING LINE,POWER CUP S,FOLDABLE BEAD,531838,,RT,28,622,28-622 (700X28C) POWER CUP S BLACK FB TLR,,,,3528705318383,21569,086699215697,janv.-27,déc.-35,290,10,50,75,74,226,CARDBOARD,225,160,400,265,"CORRUGATED CARDBOARD THICKNESS 3,5 MM",,WORLD,MICHELIN POWER CUP S RACING LINE,700,,28,,"HOOKED, HOOKLESS",28-622 (700X28C) POWER CUP S RACING LINE FOLDABLE BEAD TLR,FRONT/REAR,3X120,-,7,-,101,A2 26/32mm 622/635mm,THINWALL,TUBELESS READY,,BLACK,BLACK,ASPHALT,RACING,GUM-X,TUBELESS SHIELD V2,,,,,101,BOX_S,3625,NO,NO,BLACK,BLACK,BLUE & YELLOW ,ROAD
